features,strategy,model,accuracy,recall,precision,f1,specificity,roc_auc,pr_auc,brier,sens_at_90spec,tp,fp,tn,fn
kaggle_equiv,none,LR,0.957242969928147,0.0,0.0,0.0,1.0,0.8005851272248927,0.13981391830303008,0.038900797856958415,0.35477178423236516,0,0,10791,482
kaggle_equiv,none,RF,0.9567994322717999,0.006224066390041493,0.2727272727272727,0.012170385395537525,0.9992586414604763,0.7611446991134074,0.11368666631735345,0.040445086638138304,0.2946058091286307,3,8,10783,479
kaggle_equiv,none,XGBoost,0.956178479552914,0.004149377593360996,0.125,0.008032128514056224,0.9987026225558335,0.7666163519545833,0.10952046781963178,0.040763624012470245,0.3153526970954357,2,14,10777,480
kaggle_equiv,cost_sensitive,LR,0.7532156480085159,0.6618257261410788,0.10857726344452008,0.1865497076023392,0.7572977481234362,0.8021991585888194,0.14346555532679298,0.15836544129014385,0.37136929460580914,319,2619,8172,163
kaggle_equiv,cost_sensitive,RF,0.8994943670717644,0.1950207468879668,0.11203814064362336,0.14231642694928084,0.9309609860068576,0.7559765303112975,0.10567009497351826,0.07189423921081713,0.26556016597510373,94,745,10046,388
kaggle_equiv,cost_sensitive,XGBoost,0.8631242792513084,0.3153526970954357,0.11135531135531136,0.16459122902003248,0.8875915114447225,0.7447938596440634,0.10738501057750949,0.09295094013214111,0.2966804979253112,152,1213,9578,330
kaggle_equiv,smote,LR,0.7544575534462876,0.6618257261410788,0.10909712722298222,0.18731650029359953,0.7585951255676027,0.8010059866240155,0.14203722549933456,0.15675234297166962,0.35684647302904565,319,2605,8186,163
kaggle_equiv,smote,RF,0.8711079570655549,0.2987551867219917,0.11437648927720413,0.16542217116599656,0.8966731535538875,0.7541311127953179,0.1035252476301157,0.08714162806805799,0.2800829875518672,144,1115,9676,338
kaggle_equiv,smote,XGBoost,0.9358644548922204,0.11203319502074689,0.15472779369627507,0.1299638989169675,0.9726624038550644,0.7572541048691644,0.11035537456254678,0.052586257457733154,0.31742738589211617,54,295,10496,428
full_clinical,none,LR,0.9564446021467222,0.006224066390041493,0.2,0.012072434607645875,0.9988879621907145,0.8212685690511264,0.15794229004093563,0.03859990242754017,0.4460580912863071,3,12,10779,479
full_clinical,none,RF,0.9571542623968775,0.0,0.0,0.0,0.9999073301825595,0.8076770599135364,0.1563379935826377,0.03849954579453829,0.3796680497925311,0,1,10790,482
full_clinical,none,XGBoost,0.9558236494278364,0.01867219917012448,0.2647058823529412,0.03488372093023256,0.9976832545639885,0.7907986561722904,0.13558187742131383,0.04026568681001663,0.37344398340248963,9,25,10766,473
full_clinical,cost_sensitive,LR,0.7743280404506343,0.6742738589211619,0.11983775811209439,0.20350657482780213,0.7787971457696228,0.8229604661330269,0.16192324515053766,0.15145905966450213,0.44398340248962653,325,2387,8404,157
full_clinical,cost_sensitive,RF,0.9224696176705403,0.17634854771784234,0.1512455516014235,0.16283524904214558,0.9557964970809008,0.8028003588359902,0.12382365693601316,0.06090765548860108,0.3775933609958506,85,477,10314,397
full_clinical,cost_sensitive,XGBoost,0.9194535616073805,0.18464730290456433,0.14735099337748345,0.16390423572744015,0.9522750440181633,0.7588615993580019,0.1177472444483718,0.05975684896111488,0.34854771784232363,89,515,10276,393
full_clinical,smote,LR,0.7849729442029628,0.6639004149377593,0.12393493415956623,0.20887728459530025,0.7903808729496803,0.8170299823389017,0.1556509407061093,0.14330901178602037,0.44190871369294604,320,2262,8529,162
full_clinical,smote,RF,0.9201632218575357,0.17427385892116182,0.14334470989761092,0.15730337078651685,0.9534797516448893,0.802489665008223,0.12274027597707464,0.05949823304753228,0.3775933609958506,84,502,10289,398
full_clinical,smote,XGBoost,0.9545817439900648,0.024896265560165973,0.2222222222222222,0.04477611940298507,0.9961078676675007,0.7835343614684283,0.13130472819204725,0.04095010831952095,0.36721991701244816,12,42,10749,470
