feature_set,feature,missing_pct
kaggle_equiv,RIDAGEYR,0.0
kaggle_equiv,SEX,0.0
kaggle_equiv,HYPERTENSION,0.1
kaggle_equiv,HEART_DISEASE_CHD,0.4
kaggle_equiv,EVER_MARRIED,0.1
kaggle_equiv,BMXBMI,4.8
kaggle_equiv,LBXGH,8.3
kaggle_equiv,SMOKING_STATUS,0.1
full_clinical,RIDAGEYR,0.0
full_clinical,SEX,0.0
full_clinical,HYPERTENSION,0.1
full_clinical,HEART_DISEASE_CHD,0.4
full_clinical,EVER_MARRIED,0.1
full_clinical,BMXBMI,4.8
full_clinical,LBXGH,8.3
full_clinical,SMOKING_STATUS,0.1
full_clinical,AVG_BPXSY,7.7
full_clinical,AVG_BPXDI,7.7
full_clinical,LBXTC,9.3
full_clinical,LBDHDD,17.9
full_clinical,LBXWBCSI,8.2
full_clinical,LBXHGB,8.2
full_clinical,LBXPLTSI,8.2
full_clinical,DIABETES,0.1
full_clinical,HEART_FAILURE,0.3
full_clinical,HEART_ATTACK,0.1
full_clinical,BMXWAIST,9.1
full_clinical,RIDRETH1,0.0
full_clinical,INDFMPIR,9.1
full_clinical,DMDEDUC2,0.0
